Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,,END QUESTIONNAIRE
1,1.66776E+12,06/11/2022 19:37,1.66776E+12,1,06/11/2022 20:37,102468,2,questionnaire-mq5s,,25051414,47,7361917,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,Debrief,2,173,No,,17204
1,1.66776E+12,06/11/2022 19:49,1.66776E+12,1,06/11/2022 20:49,102468,2,questionnaire-mq5s,,25051546,26,7339188,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x864,,Debrief,2,188,No,,9291
1,1.66777E+12,06/11/2022 20:28,1.66777E+12,1,06/11/2022 21:28,102468,2,questionnaire-mq5s,,25051831,12,7339173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Debrief,2,168,No,,32030
1,1.66777E+12,06/11/2022 21:47,1.66777E+12,1,06/11/2022 22:47,102468,2,questionnaire-mq5s,,25052711,13,7339177,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,Debrief,2,168,No,,14439
1,1.66781E+12,07/11/2022 08:02,1.66781E+12,1,07/11/2022 09:02,102468,2,questionnaire-mq5s,,25058411,20,7339181,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1873x1089,,Debrief,2,168,No,,8303
1,1.66781E+12,07/11/2022 08:52,1.66781E+12,1,07/11/2022 09:52,102468,2,questionnaire-mq5s,,25059345,4,7339166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x720,,Debrief,2,173,No,,8272
1,1.66781E+12,07/11/2022 09:05,1.66781E+12,1,07/11/2022 10:05,102468,2,questionnaire-mq5s,,25059601,31,7339191,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,Debrief,2,163,No,,58099
1,1.66782E+12,07/11/2022 12:26,1.66782E+12,1,07/11/2022 13:26,102468,2,questionnaire-mq5s,,25067208,50,7361920,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1152x656,,Debrief,2,168,No,,15522
1,1.66783E+12,07/11/2022 14:00,1.66783E+12,1,07/11/2022 15:00,102468,2,questionnaire-mq5s,,25070698,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Debrief,2,193,No,,13406
1,1.66783E+12,07/11/2022 14:02,1.66783E+12,1,07/11/2022 15:02,102468,2,questionnaire-mq5s,,25070813,39,7339200,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x786,,Debrief,2,157,No,,32729
