Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
11,1667829309212,07/11/2022 13:55:09,1667829309126,1,07/11/2022 14:55:09,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,18,1,1,start,script,force_advance,17.96699999998964,,,,,0,1,0,,,,,1,va,R,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_upper_100.png,0.871324735,,,,,,,,,,,,
12,1667829312330,07/11/2022 13:55:12,1667829312284,1,07/11/2022 14:55:12,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,18,1,2,Level1,Zone2,response_text_entry,3148.100000023842,,Enter Key,r,1,1,0,0,,,,,1,va,R,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_upper_100.png,0.871324735,,,,,,,,,,,,
13,1667829312400,07/11/2022 13:55:12,1667829312302,1,07/11/2022 14:55:12,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,18,1,15,end,advancementZone,timelimit_screen,17.97400000000198,,,,,0,1,0,,,1,,1,va,R,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_upper_100.png,0.871324735,,,,,,,,,,,,
14,1667829312823,07/11/2022 13:55:12,1667829312780,1,07/11/2022 14:55:12,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,7,2,1,Screen 1,fixation,fixation,496.0020000000077,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1667829312886,07/11/2022 13:55:12,1667829312817,1,07/11/2022 14:55:12,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,12,2,1,start,script,force_advance,17.976999999998952,,,,,0,1,0,,,,,1,va,K,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.871324735,,,,,,,,,,,,
16,1667829315268,07/11/2022 13:55:15,1667829315225,1,07/11/2022 14:55:15,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,12,2,3,Level2,Zone2,response_text_entry,2402.600000023842,,Enter Key,k,1,1,0,0,,,,,1,va,K,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.871324735,,,,,,,,,,,,
17,1667829315346,07/11/2022 13:55:15,1667829315234,1,07/11/2022 14:55:15,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,12,2,15,end,advancementZone,timelimit_screen,17.186000000001513,,,,,0,1,0,,,1,,1,va,K,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.871324735,,,,,,,,,,,,
18,1667829315772,07/11/2022 13:55:15,1667829315730,1,07/11/2022 14:55:15,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,9,3,1,Screen 1,fixation,fixation,500.20900000000256,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1667829315823,07/11/2022 13:55:15,1667829315773,1,07/11/2022 14:55:15,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,24,3,1,start,script,force_advance,17.99099999999453,,,,,0,1,0,,,,,1,va,V,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_upper_100.png,0.871324735,,,,,,,,,,,,
20,1667829317369,07/11/2022 13:55:17,1667829317322,1,07/11/2022 14:55:17,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,24,3,4,Level3,Zone2,response_text_entry,1540.5,,Enter Key,v,1,1,0,0,,,,,1,va,V,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_upper_100.png,0.871324735,,,,,,,,,,,,
