Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,Question Key,Response
1,1667375872981,02/11/2022 07:57:52,1667375861256,1,02/11/2022 08:57:41,102467,4,questionnaire-dbtg,,24947989,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1536x722,,Information sheet and consent IN PERSON,1,,onlineFirst,173,no_preTest,,No,BEGIN QUESTIONNAIRE,
2,1667376097505,02/11/2022 08:01:37,1667376085844,1,02/11/2022 09:01:25,102467,4,questionnaire-dbtg,,24947989,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,Information sheet and consent IN PERSON,1,,onlineFirst,173,no_preTest,,No,END QUESTIONNAIRE,224588
1,1667377779684,02/11/2022 08:29:39,1667377779554,1,02/11/2022 09:29:39,102467,4,questionnaire-dbtg,,24948536,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,Information sheet and consent IN PERSON,1,168,chartFirst,,no_preTest,,No,BEGIN QUESTIONNAIRE,
2,1667377807044,02/11/2022 08:30:07,1667377806956,1,02/11/2022 09:30:06,102467,4,questionnaire-dbtg,,24948536,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,Information sheet and consent IN PERSON,1,168,chartFirst,,no_preTest,,No,END QUESTIONNAIRE,27402
END OF FILE
