Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,firstName,firstName-text,firstName-quantised,middleName,middleName-text,middleName-quantised,birthPlace,birthPlace-text,birthPlace-quantised,height,height-text,height-quantised,dob-year,dob-month,dob-day,dob-inmonths,Handedness,Handedness-text,Handedness-quantised,END QUESTIONNAIRE
1,1667484960154,03/11/2022 14:16:00,1667484961097,1,03/11/2022 15:16:01,102467,5,questionnaire-u67w,,24979573,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x722,,demographicsLab,1,,onlineFirst,188,no_preTest,,No,h,,8,h,,8,k,,11,"6'1"" - 6'2""",,8,,,,12,Right,,2,73520
1,1667483403122,03/11/2022 13:50:03,1667483404557,1,03/11/2022 14:50:04,102467,5,questionnaire-u67w,,24979179,7,7339223,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,demographicsLab,1,,,,preTest,168,No,n,,14,g,,7,g,,7,"5'5"" - 5'6""",,4,,,,253,Right,,2,198296
1,1667483072856,03/11/2022 13:44:32,1667483074133,1,03/11/2022 14:44:34,102467,5,questionnaire-u67w,,24979087,25,7339241,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,demographicsLab,1,,,,preTest,178,No,s,,19,m,,13,u,,21,"5'9"" - 5'10""",,6,,,,358,Right,,2,44075
1,1667482682719,03/11/2022 13:38:02,1667482683447,1,03/11/2022 14:38:03,102467,5,questionnaire-u67w,,24978967,22,7339236,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x569,,demographicsLab,1,,onlineFirst,157,no_preTest,,No,o,,15,k,,11,t,,20,"5'1"" - 5'2""",,2,,,,5,Right,,2,132696
1,1667481480297,03/11/2022 13:18:00,1667481473780,1,03/11/2022 14:17:53,102467,5,questionnaire-u67w,,24978528,44,7369231,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x601,,demographicsLab,1,,,,preTest,183,No,e,,5,v,,22,t,,20,"5'11"" - 6'0""",,7,,,,238,Right,,2,75370
1,1667480662715,03/11/2022 13:04:22,1667480660725,1,03/11/2022 14:04:20,102467,5,questionnaire-u67w,,24978292,23,7339238,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x746,,demographicsLab,1,,,,preTest,168,No,l,,12,p,,16,o,,15,"5'5"" - 5'6""",,4,,,,380,Right,,2,81520
1,1667476908080,03/11/2022 12:01:48,1667476907954,1,03/11/2022 13:01:47,102467,5,questionnaire-u67w,,24977002,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,demographicsLab,1,173,chartFirst,,no_preTest,,No,c,,3,t,,20,o,,15,"5'7"" - 5'8""",,5,,,,269,Right,,2,38858
1,1667474953721,03/11/2022 11:29:13,1667474955018,1,03/11/2022 12:29:15,102467,5,questionnaire-u67w,,24976104,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,demographicsLab,1,168,chartFirst,,no_preTest,,No,m,,13,f,,6,f,,6,"5'5"" - 5'6""",,4,,,,669,Right,,2,124168
1,1667472782535,03/11/2022 10:53:02,1667472782374,1,03/11/2022 11:53:02,102467,5,questionnaire-u67w,,24975429,19,7339235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x679,,demographicsLab,1,,,,preTest,183,No,o,,15,I do not have a middle name,,27,l,,12,"5'11"" - 6'0""",,7,,,,254,Right,,2,111984
1,1667471595479,03/11/2022 10:33:15,1667471594825,1,03/11/2022 11:33:14,102467,5,questionnaire-u67w,,24975014,18,7339234,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,demographicsLab,1,,,,preTest,178,No,e,,5,s,,19,o,,15,"5'9"" - 5'10""",,6,,,,235,Right,,2,33449
