Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,,END QUESTIONNAIRE
1,1.66748E+12,03/11/2022 11:43,1.66748E+12,1,03/11/2022 12:43,102467,5,questionnaire-mq5s,,24976512,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Debrief,1,168,chartFirst,,no_preTest,,No,,56058
1,1.66747E+12,03/11/2022 11:02,1.66747E+12,1,03/11/2022 12:02,102467,5,questionnaire-mq5s,,24975614,19,7339235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Debrief,1,,,,preTest,183,No,,42198
1,1.66747E+12,03/11/2022 10:39,1.66747E+12,1,03/11/2022 11:39,102467,5,questionnaire-mq5s,,24975188,18,7339234,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Debrief,1,,,,preTest,178,No,,34625
1,1.66747E+12,03/11/2022 10:29,1.66747E+12,1,03/11/2022 11:29,102467,5,questionnaire-mq5s,,24974917,47,7369223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,Debrief,1,,,,preTest,173,No,,31870
1,1.66747E+12,03/11/2022 09:23,1.66747E+12,1,03/11/2022 10:24,102467,5,questionnaire-mq5s,,24973569,46,7369222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x857,,Debrief,1,,,,preTest,157,No,,73814
1,1.66746E+12,03/11/2022 08:37,1.66746E+12,1,03/11/2022 09:37,102467,5,questionnaire-mq5s,,24972752,14,7339228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,834x1112,1112x731,,Debrief,1,,,,preTest,173,No,,25202
1,1.66746E+12,03/11/2022 08:15,1.66746E+12,1,03/11/2022 09:15,102467,5,questionnaire-mq5s,,24972289,13,7339230,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,Debrief,1,,onlineFirst,168,no_preTest,,No,,37074
1,1.6674E+12,02/11/2022 15:47,1.6674E+12,1,02/11/2022 16:47,102467,5,questionnaire-mq5s,,24957401,11,7339226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x768,,Debrief,1,,,,preTest,183,No,,13301
1,1.6674E+12,02/11/2022 15:15,1.6674E+12,1,02/11/2022 16:15,102467,5,questionnaire-mq5s,,24956757,45,7369219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Debrief,1,,,,preTest,173,No,,53048
1,1.6674E+12,02/11/2022 15:01,1.6674E+12,1,02/11/2022 16:01,102467,5,questionnaire-mq5s,,24956377,55,7372109,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1512x982,1356x793,,Debrief,1,,onlineFirst,157,no_preTest,,No,,41643
1,1.6674E+12,02/11/2022 14:29,1.6674E+12,1,02/11/2022 15:29,102467,5,questionnaire-mq5s,,24955410,8,7339224,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Debrief,1,,onlineFirst,178,no_preTest,,No,,14288
1,1.66738E+12,02/11/2022 10:11,1.66738E+12,1,02/11/2022 11:11,102467,5,questionnaire-mq5s,,24949729,6,7339218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x768,,Debrief,1,,,,preTest,163,No,,9669
1,1.66738E+12,02/11/2022 10:00,1.66738E+12,1,02/11/2022 11:00,102467,5,questionnaire-mq5s,,24949559,5,7339220,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x900,,Debrief,1,,,,preTest,173,No,,27981
1,1.66738E+12,02/11/2022 09:44,1.66738E+12,1,02/11/2022 10:44,102467,5,questionnaire-mq5s,,24949352,4,7339217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x720,,Debrief,1,,,,preTest,168,No,,41273
1,1.66738E+12,02/11/2022 09:16,1.66738E+12,1,02/11/2022 10:16,102467,5,questionnaire-mq5s,,24949127,3,7339221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1173x660,1173x660,,Debrief,1,178,chartFirst,,no_preTest,,No,,29089
1,1.66748E+12,03/11/2022 12:11,1.66748E+12,1,03/11/2022 13:11,102467,5,questionnaire-mq5s,,24977221,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,Debrief,1,173,chartFirst,,no_preTest,,No,,40206
1,1.66842E+12,14/11/2022 11:17,1.66842E+12,1,14/11/2022 12:17,102467,5,questionnaire-mq5s,,25222993,15,7339231,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x601,,Debrief,1,,,,preTest,173,No,,72275
1,1.66741E+12,02/11/2022 16:13,1.66741E+12,1,02/11/2022 17:13,102467,5,questionnaire-mq5s,,24958004,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Debrief,1,168,chartFirst,,no_preTest,,No,,66862
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
