Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
11,1668154743085,11/11/2022 08:19:03,1668154743005,1,11/11/2022 09:19:03,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,8,1,1,start,script,force_advance,66.1189999999915,,,,,0,1,0,,,,,1,va,D,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.871324735,,,,,,,,,,,,
12,1668154748065,11/11/2022 08:19:08,1668154748022,1,11/11/2022 09:19:08,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,8,1,2,Level1,Zone2,response_text_entry,4974.899999976158,,Enter Key,d,1,1,0,0,,,,,1,va,D,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.871324735,,,,,,,,,,,,
13,1668154748137,11/11/2022 08:19:08,1668154748038,1,11/11/2022 09:19:08,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,8,1,15,end,advancementZone,timelimit_screen,16.788000000000466,,,,,0,1,0,,,1,,1,va,D,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.871324735,,,,,,,,,,,,
14,1668154748567,11/11/2022 08:19:08,1668154748529,1,11/11/2022 09:19:08,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,7,2,1,Screen 1,fixation,fixation,500.252999999997,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1668154748657,11/11/2022 08:19:08,1668154748602,1,11/11/2022 09:19:08,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,12,2,1,start,script,force_advance,49.61000000000058,,,,,0,1,0,,,,,1,va,K,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.871324735,,,,,,,,,,,,
16,1668154750613,11/11/2022 08:19:10,1668154750463,1,11/11/2022 09:19:10,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,12,2,3,Level2,Zone2,response_text_entry,1844.8000000715256,,Enter Key,k,1,1,0,0,,,,,1,va,K,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.871324735,,,,,,,,,,,,
17,1668154750688,11/11/2022 08:19:10,1668154750474,1,11/11/2022 09:19:10,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,12,2,15,end,advancementZone,timelimit_screen,16.63300000000163,,,,,0,1,0,,,1,,1,va,K,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.871324735,,,,,,,,,,,,
18,1668154751001,11/11/2022 08:19:11,1668154750961,1,11/11/2022 09:19:10,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,9,3,1,Screen 1,fixation,fixation,500.01200000000244,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1668154751102,11/11/2022 08:19:11,1668154751034,1,11/11/2022 09:19:11,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,10,3,1,start,script,force_advance,49.99000000000524,,,,,0,1,0,,,,,1,va,H,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.871324735,,,,,,,,,,,,
20,1668154752385,11/11/2022 08:19:12,1668154752346,1,11/11/2022 09:19:12,102467,5,task-svji,,25171820,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Vision tests - online,3,193,chartFirst,,no_preTest,,193,193,193,10,3,4,Level3,Zone2,response_text_entry,1291.7999999523163,,Enter Key,h,1,1,0,0,,,,,1,va,H,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.871324735,,,,,,,,,,,,
